216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,218
240,51,7,49,73,50,6,73,48,76,4,76,75,51,1,4,7,7,3,74,74,72,76,51,242
240,5,6,30,75,30,52,5,3,48,1,24,29,50,27,28,74,27,28,72,72,5,29,1,242
240,4,24,26,52,5,31,48,5,73,75,30,30,75,3,30,52,49,48,74,74,29,3,29,242
240,49,4,72,72,6,49,30,28,51,52,3,25,48,52,51,31,4,49,50,5,4,51,52,242
240,2,31,72,30,50,30,31,74,3,3,50,72,52,51,76,29,49,31,49,25,1,31,76,242
240,1,49,2,29,72,31,48,52,48,75,74,76,73,3,29,75,24,26,2,97,97,2,51,242
240,1,75,76,74,2,50,76,30,7,52,74,52,73,4,27,28,31,3,120,51,49,122,51,242
240,6,27,28,7,3,3,31,48,5,75,51,74,2,72,4,3,48,1,120,49,4,122,2,242
240,48,6,3,51,76,73,49,75,74,74,4,3,51,73,73,3,51,6,144,145,145,146,5,242
240,50,73,7,3,31,4,5,49,73,51,52,31,3,49,74,1,76,75,168,169,169,170,76,242
240,6,5,6,29,7,30,6,49,49,29,73,75,76,52,5,25,52,6,192,193,193,194,52,242
240,1,50,50,25,30,30,4,51,6,75,72,7,48,50,49,76,72,31,48,1,4,29,5,242
240,6,3,30,2,74,6,6,76,30,26,76,72,74,6,7,51,76,76,28,2,5,48,51,242
240,73,75,5,73,5,48,29,5,3,74,48,51,74,4,5,74,3,76,3,2,30,28,4,242
240,51,6,3,49,3,4,52,4,3,75,3,50,27,28,4,74,3,51,48,52,74,50,51,242
240,50,51,29,3,30,4,52,51,25,5,75,73,4,48,51,29,1,49,75,75,52,6,1,242
240,4,76,28,30,75,4,52,74,75,30,74,3,1,26,52,50,75,4,5,7,73,27,75,242
240,73,48,1,75,4,51,29,51,48,1,52,51,50,5,74,52,73,49,2,4,5,1,48,242
264,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,266
